Árvore de Busca em Largura a partir do vértice 1000
vértice 376: pai = -1, nível = -1
vértice 377: pai = -1, nível = -1
vértice 378: pai = -1, nível = -1
vértice 379: pai = -1, nível = -1
vértice 380: pai = -1, nível = -1
vértice 381: pai = -1, nível = -1
vértice 382: pai = -1, nível = -1
vértice 383: pai = -1, nível = -1
vértice 384: pai = -1, nível = -1
vértice 385: pai = -1, nível = -1
vértice 386: pai = 51833, nível = 9
vértice 387: pai = 24591, nível = 10
vértice 388: pai = -1, nível = -1
vértice 389: pai = -1, nível = -1
vértice 390: pai = -1, nível = -1
vértice 391: pai = -1, nível = -1
vértice 392: pai = -1, nível = -1
vértice 393: pai = -1, nível = -1
vértice 394: pai = -1, nível = -1
vértice 395: pai = -1, nível = -1
vértice 396: pai = -1, nível = -1
vértice 397: pai = -1, nível = -1
vértice 398: pai = -1, nível = -1
vértice 399: pai = -1, nível = -1
vértice 400: pai = -1, nível = -1
vértice 401: pai = -1, nível = -1
vértice 402: pai = -1, nível = -1
vértice 403: pai = -1, nível = -1
vértice 404: pai = -1, nível = -1
vértice 405: pai = -1, nível = -1
vértice 406: pai = -1, nível = -1
vértice 407: pai = -1, nível = -1
vértice 408: pai = -1, nível = -1
vértice 409: pai = -1, nível = -1
vértice 410: pai = -1, nível = -1
vértice 411: pai = -1, nível = -1
vértice 412: pai = 4018, nível = 7
vértice 413: pai = 2014, nível = 15
vértice 414: pai = -1, nível = -1
vértice 415: pai = -1, nível = -1
vértice 416: pai = -1, nível = -1
vértice 417: pai = -1, nível = -1
vértice 418: pai = -1, nível = -1
vértice 419: pai = -1, nível = -1
vértice 420: pai = -1, nível = -1
vértice 421: pai = -1, nível = -1
vértice 422: pai = -1, nível = -1
vértice 423: pai = -1, nível = -1
vértice 424: pai = -1, nível = -1
vértice 425: pai = -1, nível = -1
vértice 426: pai = 27311, nível = 10
vértice 427: pai = 426, nível = 11
vértice 428: pai = -1, nível = -1
vértice 429: pai = -1, nível = -1
vértice 430: pai = -1, nível = -1
vértice 431: pai = -1, nível = -1
vértice 432: pai = -1, nível = -1
vértice 433: pai = -1, nível = -1
vértice 434: pai = -1, nível = -1
vértice 435: pai = -1, nível = -1
vértice 436: pai = -1, nível = -1
vértice 437: pai = -1, nível = -1
vértice 438: pai = -1, nível = -1
vértice 439: pai = -1, nível = -1
vértice 440: pai = -1, nível = -1
vértice 441: pai = -1, nível = -1
vértice 442: pai = -1, nível = -1
vértice 443: pai = -1, nível = -1
vértice 444: pai = -1, nível = -1
vértice 445: pai = -1, nível = -1
vértice 446: pai = -1, nível = -1
vértice 447: pai = -1, nível = -1
vértice 448: pai = -1, nível = -1
vértice 449: pai = -1, nível = -1
